"item_description","total_sales","cumulative_sales","share_sales","abc_category","transaction_frequency","share_freq","cumulative_percentf","xyz_category","combined_category"
"black velvet","54789989.569999516","141362372.66999125","3.4193325394959473","Category A","258764","2.46100972880807217000","2.46100972880807217000","X","Category AX"
"fireball cinnamon whiskey","45112350.21999754","186474722.88998878","2.815370622461977","Category A","225632","2.14590339896748751700","4.60691312777555968700","X","Category AX"
"hawkeye vodka","20885815.41999891","402326683.35998976","1.3034415381347757","Category A","213769","2.03307874633864362800","6.63999187411420331400","X","Category AX"
"titos handmade vodka","86572383.09999175","86572383.09999175","5.402807499667744","Category A","213269","2.02832342927597634700","8.66831530339017966200","X","Category AX"
"five oclock vodka","10056047.700001668","617002700.9599887","0.6275776175392214","Category A","124219","1.18140146041493375000","9.84971676380511341100","X","Category AX"
"crown royal","41694626.47999623","228169349.369985","2.6020773897581475","Category A","121219","1.15286955803893006900","11.00258632184404348000","X","Category AX"
"crown royal regal apple","32956100.98999703","261125450.35998204","2.0567236711378047","Category A","118439","1.12642999517049999100","12.12901631701454347100","X","Category AX"
"smirnoff 80prf","14258558.89999885","504238441.7899895","0.8898478498667478","Category A","115843","1.10174038898113147300","13.23075670599567494400","X","Category AX"
"captain morgan original spiced","30700546.19999995","354755062.4299894","1.9159590543057559","Category A","111762","1.06292749111564113200","14.29368419711131607600","X","Category AX"
"jim beam","18739143.369999837","459081470.3499901","1.1694720730957195","Category A","109494","1.04135737291938234900","15.33504157003069842500","X","Category AX"
"hennessy vs","30776179.280004323","324054516.22998947","1.9206791620033643","Category A","105051","0.99910162550052089700","16.33414319553121932200","X","Category AX"
"seagrams 7 crown","9884675.089999918","626887376.0499886","0.6168825992273692","Category A","91549","0.87068904354025366400","17.20483223907147298600","X","Category AX"
"absolut swedish vodka 80prf","19158628.370000526","421485311.7299903","1.1956512843273677","Category A","86629","0.82389672364360762700","18.02872896271508061300","X","Category AX"
"bacardi superior rum","12670582.020000115","516909023.8099896","0.790745421478624","Category A","85776","0.81578415273469724700","18.84451311544977786000","X","Category AX"
"jack daniels old #7 black label","32152886.590003103","293278336.94998515","2.0065966834226114","Category A","85255","0.81082911235539794100","19.65534222780517580100","X","Category AX"
"fireball cinnamon whiskey mini dispenser","10669167.000000099","596745824.5399868","0.6658411541730289","Category A","84473","0.80339179646938631500","20.45873402427456211600","X","Category AX"
"admiral nelson spiced rum","8810920.90999938","645042948.4299878","0.5498717704991597","Category A","80670","0.76722285489073898200","21.22595687916530109800","X","Category AX"
"jagermeister liqueur","14885197.960001107","489979882.8899906","0.9289551274041414","Category A","77806","0.73998439875578080100","21.96594127792108189900","X","Category AX"
"five star","4807123.810000528","792987737.2499884","0.30000288362750066","Category A","71042","0.67565446953201783500","22.64159574745309973400","X","Category AX"
"jameson","26685805.510001473","381440867.9399909","1.6654072000950209","Category A","69063","0.65683292459798074000","23.29842867205108047500","X","Category AX"
"mccormick 80prf vodka pet","5088227.0600009635","783318618.769988","0.3175459694581075","Category A","63348","0.60247965057169372800","23.90090832262277420300","X","Category AX"
"malibu coconut rum","11780912.609997822","541182395.8699875","0.7352229512812452","Category A","62094","0.59055331537852418900","24.49146163800129839200","X","Category AX"
"jose cuervo especial reposado","11735169.39000053","552917565.2599881","0.7323682093507281","Category A","60279","0.57329151444104196200","25.06475315244234035400","X","Category AX"
"southern comfort","7011446.150000212","707396563.1999878","0.4375701867763564","Category A","58099","0.55255833204781262100","25.61731148449015297500","X","Category AX"
"new amsterdam 80prf","5657859.58999998","756838489.5699881","0.35309558464634516","Category A","57878","0.55045648190611368300","26.16776796639626665800","X","Category AX"
"barton vodka","8587190.909999873","662423096.4299879","0.5359092332717639","Category A","57305","0.54500688855229698000","26.71277485494856363700","X","Category AX"
"black velvet toasted caramel","6600039.90000029","713996603.0999881","0.41189515400819904","Category A","55231","0.52528183337635310200","27.23805668832491673900","X","Category AX"
"paramount white rum","4238504.430000704","870159642.8799871","0.26451649708352476","Category A","54363","0.51702660295556270300","27.75508329128047944200","X","Category AX"
"seagrams extra dry gin","4212316.359999258","874371959.2399864","0.262882152550786","Category A","53439","0.50823877702375357000","28.26332206830423301200","X","Category AX"
"phillips vodka","5316625.319999688","773014654.449987","0.3317998433592903","Category A","51539","0.49016857218561790500","28.75349064048985091700","X","Category AX"
"grey goose","10937341.46999925","575395084.7299873","0.6825773809678644","Category A","49142","0.46737158218719096400","29.22086222267704188100","X","Category AX"
"e & j vs","3924553.4399999613","894618175.1899866","0.2449234501721907","Category A","48585","0.46207415897937961400","29.68293638165642149500","X","Category AX"
"patron silver","18857015.25","440342326.9799903","1.176828218952641","Category A","48482","0.46109456366447015400","30.14403094532089164900","X","Category AX"
"uv blue raspberry","4468303.889999797","844135016.4599862","0.27885781704544244","Category A","47091","0.44786527159612978100","30.59189621691702142900","X","Category AX"
"captain morgan spiced rum","16013214.579999363","475094684.9299895","0.9993523653690164","Category A","47071","0.44767505891362308900","31.03957127583064451900","X","Category AX"
"canadian ltd whisky","4636550.6199995205","826122655.4599878","0.2893577555025735","Category A","46402","0.44131244468377426900","31.48088372051441878700","X","Category AX"
"fireball cinnamon whiskey pet","10200828.720000181","606946653.259987","0.6366131084503823","Category A","44145","0.41984694346289416600","31.90073066397731295300","X","Category AX"
"dr mcgillicuddys cherry","7697347.409999171","686161561.5899868","0.4803758984693534","Category A","43642","0.41506309449785088200","32.31579375847516383500","X","Category AX"
"jose cuervo especial silver","6586808.089999972","720583411.189988","0.41106938348249544","Category A","43259","0.41142052162784774500","32.72721428010301158000","X","Category AX"
"jose cuervo authentic lime margarita","4702767.869999728","821486104.8399882","0.29349024027540543","Category A","42955","0.40852928885374603900","33.13574356895675761900","X","Category AX"
"blue ox vodka","4861994.669999981","788180613.4399879","0.3034272631270907","Category A","42819","0.40723584261270053900","33.54297941156945815800","X","Category AX"
"paul masson grande amber brandy vs","3911762.900000005","898529938.0899866","0.2441252184155721","Category A","42251","0.40183380242951050900","33.94481321399896866700","X","Category AX"
"tanqueray gin","9344651.46999979","636232027.5199884","0.5831808162839043","Category A","40639","0.38650266021947119700","34.33131587421843986400","X","Category AX"
"mccormick vodka pet","3351524.0600004313","923144968.9399865","0.20916184443915278","Category A","40308","0.38335464032398545800","34.71467051454242532200","X","Category AX"
"kessler blend whiskey","4468140.860000143","848603157.3199863","0.2788476426725852","Category A","39854","0.37903681243108356700","35.09370732697350888900","X","Category AX"
"rumchata","6330497.040000183","733431828.0399877","0.3950735287583957","Category A","39840","0.37890366355332888400","35.47261099052683777300","X","Category AX"
"baileys original irish cream","10681572.80999951","586076657.5399867","0.6666153757077053","Category A","37897","0.36042450144780383300","35.83303549197464160600","X","Category AX"
"ten high","3376592.2199997874","919793444.879986","0.21072629765156994","Category A","37026","0.35214073912463743100","36.18517623109927903700","X","Category AX"
"mccormick 80prf vodka","2591463.7099999967","999414257.969986","0.16172801378625917","Category A","36705","0.34908782557040503700","36.53426405666968407400","X","Category AX"
"new amsterdam peach","2614308.759999988","994213469.999986","0.16315372719566917","Category A","36654","0.34860278323001297400","36.88286683989969704800","X","Category AX"
"canadian club whisky","4741551.950000071","812068258.5699887","0.2959106763404673","Category A","35818","0.34065189310123328200","37.22351873300093033000","X","Category AX"
